nome;estrelas;criado_em;atualizado_em;idade_anos;linguagem;pull_requests_aceitas;total_releases;total_issues;issues_fechadas;razao_issues_fechadas;dias_desde_atualizacao
sequelize/sequelize;30344;2010-07-22;2026-02-28;15.61;TypeScript;5019;489;10422;9520;0.9135;1
VincentGarreau/particles.js;30343;2014-09-06;2026-02-27;11.48;JavaScript;21;6;412;107;0.2597;1
chinabugotech/hutool;30334;2014-04-13;2026-02-28;11.88;Java;514;156;3090;3088;0.9994;0
trailofbits/algo;30317;2016-05-15;2026-02-28;9.79;Python;685;4;1650;1584;0.9600;0
VSCodium/vscodium;30299;2018-08-13;2026-02-28;7.55;Shell;623;263;1636;1501;0.9175;0
herrbischoff/awesome-macos-command-line;30297;2015-09-22;2026-02-28;10.44;(não detectada);104;0;0;0;0;0
pmndrs/react-three-fiber;30291;2019-02-25;2026-02-28;7.01;TypeScript;689;131;1171;1166;0.9957;0
Binaryify/NeteaseCloudMusicApi;30289;2016-06-22;2026-02-28;9.69;(não detectada);292;0;1336;1189;0.8900;1
ValveSoftware/Proton;30276;2018-03-13;2026-02-28;7.96;C++;13;76;9015;4045;0.4487;0
tatsu-lab/stanford_alpaca;30271;2023-03-10;2026-02-28;2.97;Python;6;0;268;98;0.3657;0
facebook/folly;30263;2012-06-01;2026-02-28;13.74;C++;13;279;1248;943;0.7556;1
joshbuchea/HEAD;30241;2016-04-20;2026-02-26;9.86;(não detectada);87;0;93;73;0.7849;2
jobbole/awesome-python-cn;30229;2015-11-03;2026-02-28;10.32;Makefile;51;0;33;18;0.5455;0
cfenollosa/os-tutorial;30194;2014-09-29;2026-02-28;11.42;C;11;0;182;106;0.5824;0
AvaloniaUI/Avalonia;30142;2013-12-05;2026-02-28;12.23;C#;5630;119;8303;6468;0.7790;0
cheeriojs/cheerio;30134;2011-10-09;2026-02-28;14.39;TypeScript;3113;62;1231;1210;0.9829;0
spf13/viper;30127;2014-04-02;2026-02-28;11.91;Go;520;35;931;923;0.9914;0
openai/openai-python;30107;2020-10-25;2026-02-28;5.34;Python;1051;367;1198;1041;0.8689;0
dragonflydb/dragonfly;30083;2021-12-11;2026-02-28;4.22;C++;3954;114;2102;1842;0.8763;0
waydabber/BetterDisplay;30015;2021-10-24;2026-02-28;4.35;(não detectada);2;118;2977;2806;0.9426;0
grafana/k6;30011;2016-03-21;2026-02-28;9.94;Go;2456;85;2562;1834;0.7158;0
sunface/rust-course;30000;2018-08-07;2026-02-28;7.56;Rust;811;0;219;154;0.7032;0
telegramdesktop/tdesktop;29996;2014-05-02;2026-02-28;11.83;C++;1838;827;15746;14855;0.9434;0
jumpserver/jumpserver;29956;2014-07-04;2026-02-28;11.66;Python;7864;263;7638;7578;0.9921;0
xuxueli/xxl-job;29933;2015-11-28;2026-02-28;10.25;Java;124;42;3337;3164;0.9482;0
songquanpeng/one-api;29927;2023-04-22;2026-02-28;2.86;JavaScript;287;55;1796;896;0.4989;0
StevenBlack/hosts;29911;2012-04-12;2026-02-28;13.88;Python;506;832;2202;2072;0.9410;0
encode/django-rest-framework;29908;2011-03-02;2026-02-28;15.00;Python;3101;21;3946;3906;0.9899;0
square/leakcanary;29904;2015-04-29;2026-02-28;10.84;Kotlin;932;43;1655;1514;0.9148;0
vercel/turborepo;29901;2021-10-05;2026-02-28;4.40;Rust;7081;662;2048;1926;0.9404;0
AllThingsSmitty/css-protips;29885;2015-08-29;2026-02-28;10.50;(não detectada);73;0;63;62;0.9841;0
kingToolbox/WindTerm;29873;2019-10-09;2026-02-28;6.39;C;1;32;2911;585;0.2010;0
ageron/handson-ml2;29872;2019-01-08;2026-02-28;7.14;Jupyter Notebook;65;0;518;304;0.5869;0
google-research/tuning_playbook;29868;2023-01-18;2026-02-28;3.11;(não detectada);14;0;45;34;0.7556;0
GoogleChrome/lighthouse;29867;2016-03-07;2026-02-28;9.98;JavaScript;5561;130;9257;8769;0.9473;0
apolloconfig/apollo;29774;2016-03-04;2026-02-28;9.99;Java;1498;42;3396;3258;0.9594;0
foundation/foundation-sites;29762;2011-10-13;2026-02-27;14.38;HTML;2958;79;8240;8179;0.9926;1
hashicorp/consul;29760;2013-11-04;2026-02-27;12.32;Go;14139;256;5578;4284;0.7680;1
