scenario_id;scenario_name;treatment;trial;execution_order;elapsed_ms;response_bytes;checksum
Q1;Lista de repositorios;GraphQL;77;428;0.030792;2552;-230862105
Q1;Lista de repositorios;GraphQL;78;532;0.030292;2552;-230862105
Q1;Lista de repositorios;GraphQL;79;1018;0.030791;2552;-230862105
Q1;Lista de repositorios;GraphQL;80;439;0.029875;2552;-230862105
Q1;Lista de repositorios;GraphQL;81;188;0.029583;2552;-230862105
Q1;Lista de repositorios;GraphQL;82;232;0.031125;2552;-230862105
Q1;Lista de repositorios;GraphQL;83;176;0.030792;2552;-230862105
Q1;Lista de repositorios;GraphQL;84;478;0.031167;2552;-230862105
Q1;Lista de repositorios;GraphQL;85;287;0.030958;2552;-230862105
Q1;Lista de repositorios;GraphQL;86;801;0.030625;2552;-230862105
Q1;Lista de repositorios;GraphQL;87;299;0.030334;2552;-230862105
Q1;Lista de repositorios;GraphQL;88;296;0.030625;2552;-230862105
Q1;Lista de repositorios;GraphQL;89;297;0.030083;2552;-230862105
Q1;Lista de repositorios;GraphQL;90;683;0.030458;2552;-230862105
Q1;Lista de repositorios;GraphQL;91;863;0.030375;2552;-230862105
Q1;Lista de repositorios;GraphQL;92;1085;0.030500;2552;-230862105
Q1;Lista de repositorios;GraphQL;93;813;0.031083;2552;-230862105
Q1;Lista de repositorios;GraphQL;94;144;0.031541;2552;-230862105
Q1;Lista de repositorios;GraphQL;95;192;0.030208;2552;-230862105
Q1;Lista de repositorios;GraphQL;96;527;0.030542;2552;-230862105
Q1;Lista de repositorios;GraphQL;97;969;0.030542;2552;-230862105
Q1;Lista de repositorios;GraphQL;98;5;0.031375;2552;-230862105
Q1;Lista de repositorios;GraphQL;99;931;0.030709;2552;-230862105
Q1;Lista de repositorios;GraphQL;100;571;0.030542;2552;-230862105
Q1;Lista de repositorios;GraphQL;101;328;0.030500;2552;-230862105
Q1;Lista de repositorios;GraphQL;102;685;0.030208;2552;-230862105
Q1;Lista de repositorios;GraphQL;103;723;0.031250;2552;-230862105
Q1;Lista de repositorios;GraphQL;104;353;0.030667;2552;-230862105
Q1;Lista de repositorios;GraphQL;105;196;0.030333;2552;-230862105
Q1;Lista de repositorios;GraphQL;106;742;0.031042;2552;-230862105
Q1;Lista de repositorios;GraphQL;107;872;0.030209;2552;-230862105
Q1;Lista de repositorios;GraphQL;108;1082;0.031042;2552;-230862105
Q1;Lista de repositorios;GraphQL;109;75;0.030417;2552;-230862105
Q1;Lista de repositorios;GraphQL;110;172;0.030291;2552;-230862105
Q1;Lista de repositorios;GraphQL;111;896;0.034500;2552;-230862105
Q1;Lista de repositorios;GraphQL;112;294;0.031000;2552;-230862105
Q1;Lista de repositorios;GraphQL;113;433;0.030459;2552;-230862105
Q1;Lista de repositorios;GraphQL;114;844;0.030708;2552;-230862105
Q1;Lista de repositorios;GraphQL;115;820;0.030875;2552;-230862105
Q1;Lista de repositorios;GraphQL;116;119;0.030667;2552;-230862105
Q1;Lista de repositorios;GraphQL;117;1087;0.030459;2552;-230862105
Q1;Lista de repositorios;GraphQL;118;271;0.031208;2552;-230862105
Q1;Lista de repositorios;GraphQL;119;846;0.030334;2552;-230862105
Q1;Lista de repositorios;GraphQL;120;274;0.035250;2552;-230862105
Q1;Lista de repositorios;REST;1;624;0.137458;21239;344598052
Q1;Lista de repositorios;REST;2;260;0.140667;21239;344598052
Q1;Lista de repositorios;REST;3;41;0.136750;21239;344598052
Q1;Lista de repositorios;REST;4;138;0.139000;21239;344598052
Q1;Lista de repositorios;REST;5;471;0.138250;21239;344598052
Q1;Lista de repositorios;REST;6;755;0.137625;21239;344598052
Q1;Lista de repositorios;REST;7;81;0.138291;21239;344598052
Q1;Lista de repositorios;REST;8;1019;0.138041;21239;344598052
Q1;Lista de repositorios;REST;9;610;0.138625;21239;344598052
Q1;Lista de repositorios;REST;10;997;0.138250;21239;344598052
Q1;Lista de repositorios;REST;11;421;0.138833;21239;344598052
Q1;Lista de repositorios;REST;12;773;0.136375;21239;344598052
Q1;Lista de repositorios;REST;13;981;0.138167;21239;344598052
Q1;Lista de repositorios;REST;14;1047;0.139708;21239;344598052
Q1;Lista de repositorios;REST;15;787;0.137833;21239;344598052
Q1;Lista de repositorios;REST;16;630;0.141750;21239;344598052
Q1;Lista de repositorios;REST;17;217;0.145250;21239;344598052
Q1;Lista de repositorios;REST;18;440;0.137458;21239;344598052
Q1;Lista de repositorios;REST;19;25;0.145875;21239;344598052
Q1;Lista de repositorios;REST;20;1114;0.138500;21239;344598052
Q1;Lista de repositorios;REST;21;273;0.138208;21239;344598052
Q1;Lista de repositorios;REST;22;721;0.144166;21239;344598052
Q1;Lista de repositorios;REST;23;986;0.137917;21239;344598052
Q1;Lista de repositorios;REST;24;285;0.137708;21239;344598052
Q1;Lista de repositorios;REST;25;515;0.138625;21239;344598052
Q1;Lista de repositorios;REST;26;115;0.137750;21239;344598052
Q1;Lista de repositorios;REST;27;513;0.139500;21239;344598052
Q1;Lista de repositorios;REST;28;89;0.137500;21239;344598052
Q1;Lista de repositorios;REST;29;809;0.142292;21239;344598052
Q1;Lista de repositorios;REST;30;952;0.136584;21239;344598052
Q1;Lista de repositorios;REST;31;586;0.138375;21239;344598052
Q1;Lista de repositorios;REST;32;357;0.137875;21239;344598052
Q1;Lista de repositorios;REST;33;506;0.139125;21239;344598052
Q1;Lista de repositorios;REST;34;31;0.141208;21239;344598052
Q1;Lista de repositorios;REST;35;1027;0.137041;21239;344598052
Q1;Lista de repositorios;REST;36;574;0.139250;21239;344598052
Q1;Lista de repositorios;REST;37;1168;0.138334;21239;344598052
Q1;Lista de repositorios;REST;38;33;0.139416;21239;344598052
Q1;Lista de repositorios;REST;39;554;0.142292;21239;344598052
Q1;Lista de repositorios;REST;40;360;0.146500;21239;344598052
Q1;Lista de repositorios;REST;41;881;0.139208;21239;344598052
Q1;Lista de repositorios;REST;42;811;0.137750;21239;344598052
Q1;Lista de repositorios;REST;43;282;0.138208;21239;344598052
Q1;Lista de repositorios;REST;44;190;0.143000;21239;344598052
Q1;Lista de repositorios;REST;45;835;0.139000;21239;344598052
Q1;Lista de repositorios;REST;46;901;0.138959;21239;344598052
Q1;Lista de repositorios;REST;47;191;0.141916;21239;344598052
Q1;Lista de repositorios;REST;48;771;0.143625;21239;344598052
Q1;Lista de repositorios;REST;49;361;0.226375;21239;344598052
Q1;Lista de repositorios;REST;50;887;0.147459;21239;344598052
Q1;Lista de repositorios;REST;51;249;0.142083;21239;344598052
Q1;Lista de repositorios;REST;52;1088;0.137333;21239;344598052
Q1;Lista de repositorios;REST;53;662;0.137750;21239;344598052
Q1;Lista de repositorios;REST;54;265;0.143041;21239;344598052
Q1;Lista de repositorios;REST;55;1007;0.137750;21239;344598052
Q1;Lista de repositorios;REST;56;1186;0.137541;21239;344598052
Q1;Lista de repositorios;REST;57;322;0.138166;21239;344598052
