cwe_id,cves_count,cvss_medio,quadrante,score_risco,high_critical_pct,rank_freq,rank_severity,cwe_nome_curto,cwe_label,faixa_risco,in_top10_risco,quadrante_ordem
CWE-601,1326,5.96,Frequente,0.0192,7.32,40,632,Open Redirect,CWE-601 - Open Redirect,Moderado/Baixo,False,3
CWE-427,1043,7.43,Frequente,0.0188,80.54,46,237,DLL Hijacking,CWE-427 - DLL Hijacking,Moderado/Baixo,False,3
CWE-639,1189,6.36,Frequente,0.0184,36.75,44,543,IDOR,CWE-639 - IDOR,Moderado/Baixo,False,3
CWE-285,1019,6.35,Frequente,0.0157,41.51,48,548,Improper Authorization,CWE-285 - Improper Authorization,Moderado/Baixo,False,3
CWE-532,1024,5.99,Frequente,0.0149,28.61,47,629,Sensitive Info in Log,CWE-532 - Sensitive Info in Log,Moderado/Baixo,False,3
CWE-98,721,8.05,Dupla Ameaca,0.0141,96.26,53,77,CWE-98,CWE-98,Moderado/Baixo,False,1
CWE-843,680,8.06,Dupla Ameaca,0.0133,83.53,57,76,CWE-843,CWE-843,Moderado/Baixo,False,1
CWE-319,798,6.83,Frequente,0.0132,52.88,49,411,Cleartext Transmission,CWE-319 - Cleartext Transmission,Moderado/Baixo,False,3
CWE-415,699,7.66,Dupla Ameaca,0.013,78.68,56,152,CWE-415,CWE-415,Moderado/Baixo,False,1
CWE-255,773,6.52,Frequente,0.0122,46.83,50,498,Credentials Management Errors,CWE-255 - Credentials Management Errors,Moderado/Baixo,False,3
CWE-835,722,6.62,Frequente,0.0116,46.95,52,471,CWE-835,CWE-835,Moderado/Baixo,False,3
CWE-312,744,6.41,Frequente,0.0116,41.26,51,528,CWE-312,CWE-312,Moderado/Baixo,False,3
CWE-908,700,6.58,Frequente,0.0112,38.86,55,483,CWE-908,CWE-908,Moderado/Baixo,False,3
CWE-426,582,7.62,Dupla Ameaca,0.0108,88.83,63,164,CWE-426,CWE-426,Moderado/Baixo,False,1
CWE-668,672,6.57,Frequente,0.0107,43.9,58,485,CWE-668,CWE-668,Moderado/Baixo,False,3
CWE-617,651,6.59,Frequente,0.0104,48.69,59,480,CWE-617,CWE-617,Moderado/Baixo,False,3
CWE-347,571,7.33,Frequente,0.0102,62.52,64,258,CWE-347,CWE-347,Moderado/Baixo,False,3
CWE-266,648,6.36,Frequente,0.01,44.14,60,544,CWE-266,CWE-266,Moderado/Baixo,False,3
CWE-327,587,6.98,Frequente,0.0099,60.48,62,362,CWE-327,CWE-327,Moderado/Baixo,False,3
CWE-129,517,7.72,Dupla Ameaca,0.0097,81.43,67,140,CWE-129,CWE-129,Moderado/Baixo,False,1
CWE-203,703,5.63,Frequente,0.0096,16.93,54,678,CWE-203,CWE-203,Moderado/Baixo,False,3
CWE-307,491,7.74,Dupla Ameaca,0.0092,68.43,71,134,CWE-307,CWE-307,Moderado/Baixo,False,1
CWE-755,547,6.75,Frequente,0.009,53.02,66,433,CWE-755,CWE-755,Moderado/Baixo,False,3
CWE-667,614,5.83,Frequente,0.0087,14.82,61,653,CWE-667,CWE-667,Moderado/Baixo,False,3
CWE-1321,423,8.45,Dupla Ameaca,0.0087,81.8,79,45,CWE-1321,CWE-1321,Moderado/Baixo,False,1
CWE-288,421,8.44,Dupla Ameaca,0.0086,82.19,81,46,CWE-288,CWE-288,Moderado/Baixo,False,1
CWE-311,497,6.99,Frequente,0.0084,59.96,68,357,CWE-311,CWE-311,Moderado/Baixo,False,3
CWE-345,485,7.1,Frequente,0.0084,56.49,72,325,CWE-345,CWE-345,Moderado/Baixo,False,3
CWE-404,553,6.06,Frequente,0.0081,41.41,65,605,CWE-404,CWE-404,Moderado/Baixo,False,3
CWE-367,494,6.64,Frequente,0.008,59.31,69,466,CWE-367,CWE-367,Moderado/Baixo,False,3
CWE-754,482,6.75,Frequente,0.0079,49.79,73,432,CWE-754,CWE-754,Moderado/Baixo,False,3
CWE-290,472,6.86,Frequente,0.0079,45.13,74,401,CWE-290,CWE-290,Moderado/Baixo,False,3
CWE-613,438,7.11,Frequente,0.0076,56.39,76,324,CWE-613,CWE-613,Moderado/Baixo,False,3
CWE-326,431,6.97,Frequente,0.0073,55.22,78,368,CWE-326,CWE-326,Moderado/Baixo,False,3
CWE-772,435,6.59,Frequente,0.007,36.09,77,481,CWE-772,CWE-772,Moderado/Baixo,False,3
CWE-552,421,6.8,Frequente,0.007,51.54,80,418,CWE-552,CWE-552,Moderado/Baixo,False,3
CWE-346,413,6.93,Frequente,0.007,49.15,83,380,CWE-346,CWE-346,Moderado/Baixo,False,3
CWE-191,375,7.46,Frequente,0.0068,70.4,86,227,CWE-191,CWE-191,Moderado/Baixo,False,3
CWE-134,366,7.57,Dupla Ameaca,0.0067,69.4,90,176,CWE-134,CWE-134,Moderado/Baixo,False,1
CWE-209,493,5.6,Frequente,0.0067,19.47,70,682,CWE-209,CWE-209,Moderado/Baixo,False,3
