cwe_id,cwe_nome_curto,cwe_label
CWE-862,Missing Authorization,CWE-862 - Missing Authorization
CWE-863,Incorrect Authorization,CWE-863 - Incorrect Authorization
CWE-87,CWE-87,CWE-87
CWE-88,CWE-88,CWE-88
CWE-882,CWE-882,CWE-882
CWE-89,SQL Injection,CWE-89 - SQL Injection
CWE-895,CWE-895,CWE-895
CWE-90,CWE-90,CWE-90
CWE-908,CWE-908,CWE-908
CWE-909,CWE-909,CWE-909
CWE-91,CWE-91,CWE-91
CWE-910,CWE-910,CWE-910
CWE-911,CWE-911,CWE-911
CWE-912,CWE-912,CWE-912
CWE-913,CWE-913,CWE-913
CWE-914,CWE-914,CWE-914
CWE-915,CWE-915,CWE-915
CWE-916,CWE-916,CWE-916
CWE-917,CWE-917,CWE-917
CWE-918,SSRF,CWE-918 - SSRF
CWE-92,CWE-92,CWE-92
CWE-920,CWE-920,CWE-920
CWE-921,CWE-921,CWE-921
CWE-922,CWE-922,CWE-922
CWE-923,CWE-923,CWE-923
CWE-924,CWE-924,CWE-924
CWE-925,CWE-925,CWE-925
CWE-926,CWE-926,CWE-926
CWE-927,CWE-927,CWE-927
CWE-93,CWE-93,CWE-93
CWE-939,CWE-939,CWE-939
CWE-94,Code Injection,CWE-94 - Code Injection
CWE-940,CWE-940,CWE-940
CWE-941,CWE-941,CWE-941
CWE-942,CWE-942,CWE-942
CWE-943,CWE-943,CWE-943
CWE-95,CWE-95,CWE-95
CWE-952,CWE-952,CWE-952
CWE-96,CWE-96,CWE-96
CWE-962,CWE-962,CWE-962
CWE-97,CWE-97,CWE-97
CWE-98,CWE-98,CWE-98
CWE-99,CWE-99,CWE-99
