pct_cwes_acumulado,pct_cves_acumulado,linha_igualdade
35.247,0.205,35.247
35.381,0.207,35.381
35.514,0.209,35.514
35.648,0.21,35.648
35.781,0.212,35.781
35.915,0.214,35.915
36.048,0.216,36.048
36.182,0.218,36.182
36.315,0.219,36.315
36.449,0.221,36.449
36.582,0.223,36.582
36.716,0.225,36.716
36.849,0.227,36.849
36.983,0.228,36.983
37.116,0.23,37.116
37.25,0.232,37.25
37.383,0.234,37.383
37.517,0.236,37.517
37.65,0.238,37.65
37.784,0.24,37.784
37.917,0.242,37.917
38.051,0.244,38.051
38.184,0.246,38.184
38.318,0.248,38.318
38.451,0.251,38.451
38.585,0.253,38.585
38.718,0.255,38.718
38.852,0.257,38.852
38.985,0.259,38.985
39.119,0.261,39.119
39.252,0.264,39.252
39.386,0.266,39.386
39.519,0.268,39.519
39.653,0.27,39.653
39.786,0.272,39.786
39.92,0.274,39.92
40.053,0.276,40.053
40.187,0.279,40.187
40.32,0.281,40.32
40.454,0.283,40.454
40.587,0.285,40.587
40.721,0.287,40.721
40.854,0.29,40.854
40.988,0.292,40.988
41.121,0.295,41.121
41.255,0.297,41.255
41.389,0.3,41.389
41.522,0.302,41.522
41.656,0.305,41.656
41.789,0.307,41.789
41.923,0.31,41.923
42.056,0.312,42.056
42.19,0.315,42.19
42.323,0.317,42.323
42.457,0.32,42.457
42.59,0.322,42.59
42.724,0.325,42.724
42.857,0.327,42.857
42.991,0.33,42.991
43.124,0.332,43.124
43.258,0.335,43.258
43.391,0.338,43.391
43.525,0.341,43.525
43.658,0.344,43.658
43.792,0.347,43.792
43.925,0.35,43.925
44.059,0.352,44.059
44.192,0.355,44.192
44.326,0.358,44.326
44.459,0.361,44.459
44.593,0.364,44.593
44.726,0.367,44.726
44.86,0.37,44.86
44.993,0.373,44.993
45.127,0.375,45.127
45.26,0.378,45.26
45.394,0.381,45.394
45.527,0.384,45.527
45.661,0.388,45.661
45.794,0.391,45.794
45.928,0.394,45.928
46.061,0.397,46.061
46.195,0.4,46.195
46.328,0.404,46.328
46.462,0.407,46.462
46.595,0.41,46.595
46.729,0.413,46.729
46.862,0.417,46.862
46.996,0.42,46.996
47.13,0.423,47.13
47.263,0.426,47.263
47.397,0.43,47.397
47.53,0.433,47.53
47.664,0.437,47.664
47.797,0.44,47.797
47.931,0.444,47.931
48.064,0.447,48.064
48.198,0.451,48.198
48.331,0.455,48.331
48.465,0.458,48.465
48.598,0.462,48.598
48.732,0.465,48.732
48.865,0.469,48.865
48.999,0.473,48.999
49.132,0.476,49.132
49.266,0.48,49.266
49.399,0.483,49.399
49.533,0.487,49.533
49.666,0.491,49.666
49.8,0.495,49.8
49.933,0.499,49.933
50.067,0.503,50.067
50.2,0.507,50.2
50.334,0.511,50.334
50.467,0.515,50.467
50.601,0.519,50.601
50.734,0.523,50.734
50.868,0.527,50.868
51.001,0.531,51.001
51.135,0.536,51.135
51.268,0.54,51.268
51.402,0.544,51.402
51.535,0.549,51.535
51.669,0.553,51.669
51.802,0.557,51.802
51.936,0.561,51.936
52.069,0.566,52.069
52.203,0.57,52.203
52.336,0.575,52.336
52.47,0.579,52.47
52.603,0.584,52.603
52.737,0.589,52.737
52.87,0.593,52.87
53.004,0.598,53.004
53.138,0.603,53.138
53.271,0.607,53.271
53.405,0.612,53.405
53.538,0.617,53.538
53.672,0.621,53.672
53.805,0.626,53.805
53.939,0.631,53.939
54.072,0.636,54.072
54.206,0.641,54.206
54.339,0.646,54.339
54.473,0.651,54.473
54.606,0.656,54.606
54.74,0.661,54.74
54.873,0.666,54.873
55.007,0.671,55.007
55.14,0.676,55.14
55.274,0.682,55.274
55.407,0.687,55.407
55.541,0.692,55.541
55.674,0.698,55.674
55.808,0.703,55.808
55.941,0.708,55.941
56.075,0.714,56.075
56.208,0.719,56.208
56.342,0.725,56.342
56.475,0.73,56.475
56.609,0.736,56.609
56.742,0.742,56.742
56.876,0.748,56.876
57.009,0.753,57.009
57.143,0.759,57.143
57.276,0.765,57.276
57.41,0.77,57.41
57.543,0.777,57.543
57.677,0.783,57.677
57.81,0.789,57.81
57.944,0.795,57.944
58.077,0.801,58.077
58.211,0.807,58.211
58.344,0.814,58.344
58.478,0.82,58.478
58.611,0.826,58.611
58.745,0.833,58.745
58.879,0.839,58.879
59.012,0.846,59.012
