cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-754,482,73,89.63,CWE-754,CWE-754,0.173,False,False
CWE-290,472,74,89.8,CWE-290,CWE-290,0.169,False,False
CWE-80,451,75,89.96,CWE-80,CWE-80,0.162,False,False
CWE-613,438,76,90.12,CWE-613,CWE-613,0.157,False,False
CWE-772,435,77,90.27,CWE-772,CWE-772,0.156,False,False
CWE-326,431,78,90.43,CWE-326,CWE-326,0.155,False,False
CWE-1321,423,79,90.58,CWE-1321,CWE-1321,0.152,False,False
CWE-552,421,80,90.73,CWE-552,CWE-552,0.151,False,False
CWE-288,421,81,90.88,CWE-288,CWE-288,0.151,False,False
CWE-254,414,82,91.03,CWE-254,CWE-254,0.148,False,False
CWE-346,413,83,91.18,CWE-346,CWE-346,0.148,False,False
CWE-369,403,84,91.32,CWE-369,CWE-369,0.144,False,False
CWE-126,397,85,91.46,CWE-126,CWE-126,0.142,False,False
CWE-191,375,86,91.6,CWE-191,CWE-191,0.134,False,False
CWE-693,370,87,91.73,CWE-693,CWE-693,0.133,False,False
CWE-384,369,88,91.86,CWE-384,CWE-384,0.132,False,False
CWE-1333,368,89,92.0,CWE-1333,CWE-1333,0.132,False,False
CWE-134,366,90,92.13,CWE-134,CWE-134,0.131,False,False
CWE-1021,361,91,92.26,CWE-1021,CWE-1021,0.129,False,False
CWE-922,358,92,92.38,CWE-922,CWE-922,0.128,False,False
CWE-23,350,93,92.51,CWE-23,CWE-23,0.125,False,False
CWE-116,347,94,92.63,CWE-116,CWE-116,0.124,False,False
CWE-330,343,95,92.76,CWE-330,CWE-330,0.123,False,False
CWE-665,338,96,92.88,CWE-665,CWE-665,0.121,False,False
CWE-674,325,97,92.99,CWE-674,CWE-674,0.117,False,False
CWE-281,315,98,93.11,CWE-281,CWE-281,0.113,False,False
CWE-16,315,99,93.22,CWE-16,CWE-16,0.113,False,False
CWE-73,304,100,93.33,CWE-73,CWE-73,0.109,False,False
CWE-88,282,101,93.43,CWE-88,CWE-88,0.101,False,False
CWE-444,277,102,93.53,CWE-444,CWE-444,0.099,False,False
CWE-1236,274,103,93.63,CWE-1236,CWE-1236,0.098,False,False
CWE-250,265,104,93.72,CWE-250,CWE-250,0.095,False,False
CWE-824,264,105,93.82,CWE-824,CWE-824,0.095,False,False
CWE-497,253,106,93.91,CWE-497,CWE-497,0.091,False,False
CWE-428,248,107,94.0,CWE-428,CWE-428,0.089,False,False
CWE-704,244,108,94.09,CWE-704,CWE-704,0.087,False,False
CWE-521,243,109,94.17,CWE-521,CWE-521,0.087,False,False
CWE-1284,236,110,94.26,CWE-1284,CWE-1284,0.085,False,False
CWE-19,233,111,94.34,CWE-19,CWE-19,0.084,False,False
CWE-1188,232,112,94.42,CWE-1188,CWE-1188,0.083,False,False
CWE-640,231,113,94.51,CWE-640,CWE-640,0.083,False,False
CWE-201,231,114,94.59,CWE-201,CWE-201,0.083,False,False
CWE-321,230,115,94.67,CWE-321,CWE-321,0.082,False,False
CWE-707,229,116,94.75,CWE-707,CWE-707,0.082,False,False
CWE-610,209,117,94.83,CWE-610,CWE-610,0.075,False,False
