cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-762,11,379,99.52,CWE-762,CWE-762,0.004,False,False
CWE-643,10,380,99.52,CWE-643,CWE-643,0.004,False,False
CWE-821,10,381,99.52,CWE-821,CWE-821,0.004,False,False
CWE-232,10,382,99.53,CWE-232,CWE-232,0.004,False,False
CWE-258,10,383,99.53,CWE-258,CWE-258,0.004,False,False
CWE-159,10,384,99.53,CWE-159,CWE-159,0.004,False,False
CWE-1244,10,385,99.54,CWE-1244,CWE-1244,0.004,False,False
CWE-1242,10,386,99.54,CWE-1242,CWE-1242,0.004,False,False
CWE-138,10,387,99.55,CWE-138,CWE-138,0.004,False,False
CWE-392,10,388,99.55,CWE-392,CWE-392,0.004,False,False
CWE-341,10,389,99.55,CWE-341,CWE-341,0.004,False,False
CWE-547,10,390,99.56,CWE-547,CWE-547,0.004,False,False
CWE-363,10,391,99.56,CWE-363,CWE-363,0.004,False,False
CWE-698,10,392,99.56,CWE-698,CWE-698,0.004,False,False
CWE-790,10,393,99.57,CWE-790,CWE-790,0.004,False,False
CWE-296,10,394,99.57,CWE-296,CWE-296,0.004,False,False
CWE-1326,9,395,99.57,CWE-1326,CWE-1326,0.003,False,False
CWE-64,9,396,99.58,CWE-64,CWE-64,0.003,False,False
CWE-1275,9,397,99.58,CWE-1275,CWE-1275,0.003,False,False
CWE-332,9,398,99.58,CWE-332,CWE-332,0.003,False,False
CWE-921,9,399,99.59,CWE-921,CWE-921,0.003,False,False
CWE-1299,9,400,99.59,CWE-1299,CWE-1299,0.003,False,False
CWE-242,9,401,99.59,CWE-242,CWE-242,0.003,False,False
CWE-842,9,402,99.6,CWE-842,CWE-842,0.003,False,False
CWE-1325,9,403,99.6,CWE-1325,CWE-1325,0.003,False,False
CWE-530,9,404,99.6,CWE-530,CWE-530,0.003,False,False
CWE-271,9,405,99.61,CWE-271,CWE-271,0.003,False,False
CWE-76,9,406,99.61,CWE-76,CWE-76,0.003,False,False
CWE-701,9,407,99.61,CWE-701,CWE-701,0.003,False,False
CWE-364,9,408,99.62,CWE-364,CWE-364,0.003,False,False
CWE-820,9,409,99.62,CWE-820,CWE-820,0.003,False,False
CWE-14,8,410,99.62,CWE-14,CWE-14,0.003,False,False
CWE-146,8,411,99.62,CWE-146,CWE-146,0.003,False,False
CWE-421,8,412,99.63,CWE-421,CWE-421,0.003,False,False
CWE-81,8,413,99.63,CWE-81,CWE-81,0.003,False,False
CWE-230,8,414,99.63,CWE-230,CWE-230,0.003,False,False
CWE-329,8,415,99.64,CWE-329,CWE-329,0.003,False,False
CWE-786,8,416,99.64,CWE-786,CWE-786,0.003,False,False
CWE-646,8,417,99.64,CWE-646,CWE-646,0.003,False,False
CWE-1258,8,418,99.64,CWE-1258,CWE-1258,0.003,False,False
CWE-650,8,419,99.65,CWE-650,CWE-650,0.003,False,False
CWE-86,8,420,99.65,CWE-86,CWE-86,0.003,False,False
CWE-456,8,421,99.65,CWE-456,CWE-456,0.003,False,False
CWE-694,8,422,99.66,CWE-694,CWE-694,0.003,False,False
CWE-141,8,423,99.66,CWE-141,CWE-141,0.003,False,False
CWE-561,8,424,99.66,CWE-561,CWE-561,0.003,False,False
CWE-656,8,425,99.66,CWE-656,CWE-656,0.003,False,False
CWE-199,8,426,99.67,CWE-199,CWE-199,0.003,False,False
CWE-941,7,427,99.67,CWE-941,CWE-941,0.003,False,False
CWE-371,7,428,99.67,CWE-371,CWE-371,0.003,False,False
CWE-616,7,429,99.68,CWE-616,CWE-616,0.003,False,False
CWE-308,7,430,99.68,CWE-308,CWE-308,0.003,False,False
CWE-1262,7,431,99.68,CWE-1262,CWE-1262,0.003,False,False
CWE-551,7,432,99.68,CWE-551,CWE-551,0.003,False,False
CWE-315,7,433,99.69,CWE-315,CWE-315,0.003,False,False
CWE-474,7,434,99.69,CWE-474,CWE-474,0.003,False,False
CWE-361,7,435,99.69,CWE-361,CWE-361,0.003,False,False
CWE-82,7,436,99.69,CWE-82,CWE-82,0.003,False,False
CWE-223,7,437,99.7,CWE-223,CWE-223,0.003,False,False
CWE-97,7,438,99.7,CWE-97,CWE-97,0.003,False,False
CWE-299,7,439,99.7,CWE-299,CWE-299,0.003,False,False
CWE-544,7,440,99.7,CWE-544,CWE-544,0.003,False,False
CWE-612,7,441,99.71,CWE-612,CWE-612,0.003,False,False
CWE-1289,7,442,99.71,CWE-1289,CWE-1289,0.003,False,False
CWE-760,7,443,99.71,CWE-760,CWE-760,0.003,False,False
CWE-1050,7,444,99.71,CWE-1050,CWE-1050,0.003,False,False
CWE-1038,6,445,99.71,CWE-1038,CWE-1038,0.002,False,False
CWE-1173,6,446,99.72,CWE-1173,CWE-1173,0.002,False,False
CWE-1270,6,447,99.72,CWE-1270,CWE-1270,0.002,False,False
CWE-1319,6,448,99.72,CWE-1319,CWE-1319,0.002,False,False
CWE-249,6,449,99.72,CWE-249,CWE-249,0.002,False,False
CWE-1274,6,450,99.73,CWE-1274,CWE-1274,0.002,False,False
CWE-37,6,451,99.73,CWE-37,CWE-37,0.002,False,False
CWE-342,6,452,99.73,CWE-342,CWE-342,0.002,False,False
CWE-65,6,453,99.73,CWE-65,CWE-65,0.002,False,False
CWE-265,6,454,99.73,CWE-265,CWE-265,0.002,False,False
CWE-372,6,455,99.74,CWE-372,CWE-372,0.002,False,False
CWE-127,6,456,99.74,CWE-127,CWE-127,0.002,False,False
CWE-177,6,457,99.74,CWE-177,CWE-177,0.002,False,False
CWE-180,6,458,99.74,CWE-180,CWE-180,0.002,False,False
CWE-298,6,459,99.75,CWE-298,CWE-298,0.002,False,False
CWE-1025,6,460,99.75,CWE-1025,CWE-1025,0.002,False,False
CWE-692,6,461,99.75,CWE-692,CWE-692,0.002,False,False
CWE-219,6,462,99.75,CWE-219,CWE-219,0.002,False,False
CWE-1320,6,463,99.75,CWE-1320,CWE-1320,0.002,False,False
CWE-18,6,464,99.76,CWE-18,CWE-18,0.002,False,False
CWE-21,6,465,99.76,CWE-21,CWE-21,0.002,False,False
CWE-710,6,466,99.76,CWE-710,CWE-710,0.002,False,False
CWE-112,6,467,99.76,CWE-112,CWE-112,0.002,False,False
CWE-291,6,468,99.76,CWE-291,CWE-291,0.002,False,False
CWE-1300,5,469,99.77,CWE-1300,CWE-1300,0.002,False,False
CWE-278,5,470,99.77,CWE-278,CWE-278,0.002,False,False
CWE-156,5,471,99.77,CWE-156,CWE-156,0.002,False,False
CWE-1023,5,472,99.77,CWE-1023,CWE-1023,0.002,False,False
CWE-1328,5,473,99.77,CWE-1328,CWE-1328,0.002,False,False
CWE-240,5,474,99.78,CWE-240,CWE-240,0.002,False,False
CWE-826,5,475,99.78,CWE-826,CWE-826,0.002,False,False
CWE-676,5,476,99.78,CWE-676,CWE-676,0.002,False,False
CWE-393,5,477,99.78,CWE-393,CWE-393,0.002,False,False
CWE-167,5,478,99.78,CWE-167,CWE-167,0.002,False,False
CWE-1037,5,479,99.78,CWE-1037,CWE-1037,0.002,False,False
CWE-1250,5,480,99.79,CWE-1250,CWE-1250,0.002,False,False
CWE-649,5,481,99.79,CWE-649,CWE-649,0.002,False,False
CWE-1088,5,482,99.79,CWE-1088,CWE-1088,0.002,False,False
CWE-1260,5,483,99.79,CWE-1260,CWE-1260,0.002,False,False
CWE-645,5,484,99.79,CWE-645,CWE-645,0.002,False,False
CWE-147,5,485,99.79,CWE-147,CWE-147,0.002,False,False
CWE-733,5,486,99.8,CWE-733,CWE-733,0.002,False,False
CWE-368,5,487,99.8,CWE-368,CWE-368,0.002,False,False
CWE-194,5,488,99.8,CWE-194,CWE-194,0.002,False,False
CWE-566,5,489,99.8,CWE-566,CWE-566,0.002,False,False
CWE-534,5,490,99.8,CWE-534,CWE-534,0.002,False,False
CWE-647,5,491,99.81,CWE-647,CWE-647,0.002,False,False
CWE-562,5,492,99.81,CWE-562,CWE-562,0.002,False,False
CWE-1281,5,493,99.81,CWE-1281,CWE-1281,0.002,False,False
CWE-775,5,494,99.81,CWE-775,CWE-775,0.002,False,False
CWE-914,5,495,99.81,CWE-914,CWE-914,0.002,False,False
CWE-792,5,496,99.81,CWE-792,CWE-792,0.002,False,False
CWE-262,5,497,99.82,CWE-262,CWE-262,0.002,False,False
CWE-216,4,498,99.82,CWE-216,CWE-216,0.001,False,False
CWE-539,4,499,99.82,CWE-539,CWE-539,0.001,False,False
CWE-412,4,500,99.82,CWE-412,CWE-412,0.001,False,False
CWE-231,4,501,99.82,CWE-231,CWE-231,0.001,False,False
CWE-1116,4,502,99.82,CWE-1116,CWE-1116,0.001,False,False
CWE-1335,4,503,99.83,CWE-1335,CWE-1335,0.001,False,False
CWE-196,4,504,99.83,CWE-196,CWE-196,0.001,False,False
CWE-1125,4,505,99.83,CWE-1125,CWE-1125,0.001,False,False
CWE-767,4,506,99.83,CWE-767,CWE-767,0.001,False,False
CWE-1357,4,507,99.83,CWE-1357,CWE-1357,0.001,False,False
CWE-573,4,508,99.83,CWE-573,CWE-573,0.001,False,False
CWE-437,4,509,99.83,CWE-437,CWE-437,0.001,False,False
CWE-317,4,510,99.84,CWE-317,CWE-317,0.001,False,False
CWE-192,4,511,99.84,CWE-192,CWE-192,0.001,False,False
CWE-149,4,512,99.84,CWE-149,CWE-149,0.001,False,False
CWE-758,4,513,99.84,CWE-758,CWE-758,0.001,False,False
CWE-1233,4,514,99.84,CWE-1233,CWE-1233,0.001,False,False
CWE-491,4,515,99.84,CWE-491,CWE-491,0.001,False,False
CWE-187,4,516,99.84,CWE-187,CWE-187,0.001,False,False
CWE-771,4,517,99.85,CWE-771,CWE-771,0.001,False,False
CWE-794,4,518,99.85,CWE-794,CWE-794,0.001,False,False
CWE-1077,4,519,99.85,CWE-1077,CWE-1077,0.001,False,False
CWE-671,4,520,99.85,CWE-671,CWE-671,0.001,False,False
CWE-784,4,521,99.85,CWE-784,CWE-784,0.001,False,False
CWE-1256,4,522,99.85,CWE-1256,CWE-1256,0.001,False,False
CWE-1245,4,523,99.85,CWE-1245,CWE-1245,0.001,False,False
CWE-1241,4,524,99.86,CWE-1241,CWE-1241,0.001,False,False
CWE-153,4,525,99.86,CWE-153,CWE-153,0.001,False,False
CWE-769,4,526,99.86,CWE-769,CWE-769,0.001,False,False
CWE-403,4,527,99.86,CWE-403,CWE-403,0.001,False,False
CWE-920,4,528,99.86,CWE-920,CWE-920,0.001,False,False
CWE-597,3,529,99.86,CWE-597,CWE-597,0.001,False,False
CWE-1039,3,530,99.86,CWE-1039,CWE-1039,0.001,False,False
CWE-173,3,531,99.86,CWE-173,CWE-173,0.001,False,False
CWE-628,3,532,99.87,CWE-628,CWE-628,0.001,False,False
CWE-564,3,533,99.87,CWE-564,CWE-564,0.001,False,False
CWE-237,3,534,99.87,CWE-237,CWE-237,0.001,False,False
CWE-1257,3,535,99.87,CWE-1257,CWE-1257,0.001,False,False
CWE-1189,3,536,99.87,CWE-1189,CWE-1189,0.001,False,False
CWE-1204,3,537,99.87,CWE-1204,CWE-1204,0.001,False,False
CWE-686,3,538,99.87,CWE-686,CWE-686,0.001,False,False
CWE-179,3,539,99.87,CWE-179,CWE-179,0.001,False,False
CWE-450,3,540,99.87,CWE-450,CWE-450,0.001,False,False
CWE-1283,3,541,99.87,CWE-1283,CWE-1283,0.001,False,False
CWE-550,3,542,99.88,CWE-550,CWE-550,0.001,False,False
CWE-239,3,543,99.88,CWE-239,CWE-239,0.001,False,False
CWE-467,3,544,99.88,CWE-467,CWE-467,0.001,False,False
CWE-626,3,545,99.88,CWE-626,CWE-626,0.001,False,False
CWE-210,3,546,99.88,CWE-210,CWE-210,0.001,False,False
CWE-756,3,547,99.88,CWE-756,CWE-756,0.001,False,False
CWE-1049,3,548,99.88,CWE-1049,CWE-1049,0.001,False,False
CWE-480,3,549,99.88,CWE-480,CWE-480,0.001,False,False
CWE-40,3,550,99.88,CWE-40,CWE-40,0.001,False,False
CWE-1187,3,551,99.89,CWE-1187,CWE-1187,0.001,False,False
CWE-473,3,552,99.89,CWE-473,CWE-473,0.001,False,False
CWE-1255,3,553,99.89,CWE-1255,CWE-1255,0.001,False,False
CWE-446,3,554,99.89,CWE-446,CWE-446,0.001,False,False
CWE-689,3,555,99.89,CWE-689,CWE-689,0.001,False,False
CWE-683,3,556,99.89,CWE-683,CWE-683,0.001,False,False
CWE-567,3,557,99.89,CWE-567,CWE-567,0.001,False,False
CWE-1279,3,558,99.89,CWE-1279,CWE-1279,0.001,False,False
CWE-1068,3,559,99.89,CWE-1068,CWE-1068,0.001,False,False
CWE-623,3,560,99.9,CWE-623,CWE-623,0.001,False,False
CWE-463,3,561,99.9,CWE-463,CWE-463,0.001,False,False
CWE-780,3,562,99.9,CWE-780,CWE-780,0.001,False,False
CWE-625,3,563,99.9,CWE-625,CWE-625,0.001,False,False
CWE-343,3,564,99.9,CWE-343,CWE-343,0.001,False,False
CWE-839,3,565,99.9,CWE-839,CWE-839,0.001,False,False
CWE-435,3,566,99.9,CWE-435,CWE-435,0.001,False,False
CWE-1332,3,567,99.9,CWE-1332,CWE-1332,0.001,False,False
CWE-1032,3,568,99.9,CWE-1032,CWE-1032,0.001,False,False
CWE-1247,3,569,99.9,CWE-1247,CWE-1247,0.001,False,False
CWE-1007,3,570,99.91,CWE-1007,CWE-1007,0.001,False,False
CWE-687,3,571,99.91,CWE-687,CWE-687,0.001,False,False
CWE-67,3,572,99.91,CWE-67,CWE-67,0.001,False,False
CWE-1303,3,573,99.91,CWE-1303,CWE-1303,0.001,False,False
CWE-447,3,574,99.91,CWE-447,CWE-447,0.001,False,False
CWE-705,3,575,99.91,CWE-705,CWE-705,0.001,False,False
CWE-730,2,576,99.91,CWE-730,CWE-730,0.001,False,False
CWE-1103,2,577,99.91,CWE-1103,CWE-1103,0.001,False,False
CWE-28,2,578,99.91,CWE-28,CWE-28,0.001,False,False
CWE-627,2,579,99.91,CWE-627,CWE-627,0.001,False,False
CWE-1112,2,580,99.92,CWE-1112,CWE-1112,0.001,False,False
CWE-227,2,581,99.92,CWE-227,CWE-227,0.001,False,False
CWE-563,2,582,99.92,CWE-563,CWE-563,0.001,False,False
CWE-168,2,583,99.92,CWE-168,CWE-168,0.001,False,False
CWE-128,2,584,99.92,CWE-128,CWE-128,0.001,False,False
CWE-142,2,585,99.92,CWE-142,CWE-142,0.001,False,False
CWE-1342,2,586,99.92,CWE-1342,CWE-1342,0.001,False,False
CWE-234,2,587,99.92,CWE-234,CWE-234,0.001,False,False
CWE-85,2,588,99.92,CWE-85,CWE-85,0.001,False,False
CWE-344,2,589,99.92,CWE-344,CWE-344,0.001,False,False
CWE-1018,2,590,99.92,CWE-1018,CWE-1018,0.001,False,False
CWE-11,2,591,99.92,CWE-11,CWE-11,0.001,False,False
CWE-360,2,592,99.92,CWE-360,CWE-360,0.001,False,False
CWE-531,2,593,99.92,CWE-531,CWE-531,0.001,False,False
CWE-1272,2,594,99.93,CWE-1272,CWE-1272,0.001,False,False
CWE-466,2,595,99.93,CWE-466,CWE-466,0.001,False,False
CWE-1024,2,596,99.93,CWE-1024,CWE-1024,0.001,False,False
CWE-1,2,597,99.93,CWE-1,CWE-1,0.001,False,False
CWE-144,2,598,99.93,CWE-144,CWE-144,0.001,False,False
CWE-827,2,599,99.93,CWE-827,CWE-827,0.001,False,False
CWE-205,2,600,99.93,CWE-205,CWE-205,0.001,False,False
CWE-588,2,601,99.93,CWE-588,CWE-588,0.001,False,False
CWE-1176,2,602,99.93,CWE-1176,CWE-1176,0.001,False,False
CWE-1107,2,603,99.93,CWE-1107,CWE-1107,0.001,False,False
CWE-1234,2,604,99.93,CWE-1234,CWE-1234,0.001,False,False
CWE-1100,2,605,99.93,CWE-1100,CWE-1100,0.001,False,False
CWE-622,2,606,99.93,CWE-622,CWE-622,0.001,False,False
CWE-468,2,607,99.93,CWE-468,CWE-468,0.001,False,False
CWE-1329,2,608,99.94,CWE-1329,CWE-1329,0.001,False,False
CWE-408,2,609,99.94,CWE-408,CWE-408,0.001,False,False
CWE-1246,2,610,99.94,CWE-1246,CWE-1246,0.001,False,False
CWE-465,2,611,99.94,CWE-465,CWE-465,0.001,False,False
CWE-1076,2,612,99.94,CWE-1076,CWE-1076,0.001,False,False
CWE-235,2,613,99.94,CWE-235,CWE-235,0.001,False,False
CWE-164,2,614,99.94,CWE-164,CWE-164,0.001,False,False
CWE-1269,2,615,99.94,CWE-1269,CWE-1269,0.001,False,False
CWE-182,2,616,99.94,CWE-182,CWE-182,0.001,False,False
CWE-414,2,617,99.94,CWE-414,CWE-414,0.001,False,False
CWE-32,2,618,99.94,CWE-32,CWE-32,0.001,False,False
CWE-1223,2,619,99.94,CWE-1223,CWE-1223,0.001,False,False
CWE-1221,2,620,99.94,CWE-1221,CWE-1221,0.001,False,False
CWE-1298,2,621,99.94,CWE-1298,CWE-1298,0.001,False,False
CWE-111,2,622,99.95,CWE-111,CWE-111,0.001,False,False
CWE-62,2,623,99.95,CWE-62,CWE-62,0.001,False,False
CWE-1323,2,624,99.95,CWE-1323,CWE-1323,0.001,False,False
CWE-1254,2,625,99.95,CWE-1254,CWE-1254,0.001,False,False
CWE-925,2,626,99.95,CWE-925,CWE-925,0.001,False,False
CWE-555,2,627,99.95,CWE-555,CWE-555,0.001,False,False
CWE-815,2,628,99.95,CWE-815,CWE-815,0.001,False,False
CWE-1251,2,629,99.95,CWE-1251,CWE-1251,0.001,False,False
CWE-1389,2,630,99.95,CWE-1389,CWE-1389,0.001,False,False
CWE-1264,2,631,99.95,CWE-1264,CWE-1264,0.001,False,False
CWE-1231,2,632,99.95,CWE-1231,CWE-1231,0.001,False,False
CWE-527,2,633,99.95,CWE-527,CWE-527,0.001,False,False
CWE-652,2,634,99.95,CWE-652,CWE-652,0.001,False,False
CWE-69,2,635,99.95,CWE-69,CWE-69,0.001,False,False
CWE-499,2,636,99.96,CWE-499,CWE-499,0.001,False,False
CWE-448,2,637,99.96,CWE-448,CWE-448,0.001,False,False
CWE-675,2,638,99.96,CWE-675,CWE-675,0.001,False,False
CWE-528,2,639,99.96,CWE-528,CWE-528,0.001,False,False
CWE-431,2,640,99.96,CWE-431,CWE-431,0.001,False,False
CWE-1108,2,641,99.96,CWE-1108,CWE-1108,0.001,False,False
CWE-422,2,642,99.96,CWE-422,CWE-422,0.001,False,False
CWE-148,2,643,99.96,CWE-148,CWE-148,0.001,False,False
CWE-535,2,644,99.96,CWE-535,CWE-535,0.001,False,False
CWE-828,2,645,99.96,CWE-828,CWE-828,0.001,False,False
CWE-774,2,646,99.96,CWE-774,CWE-774,0.001,False,False
CWE-1384,2,647,99.96,CWE-1384,CWE-1384,0.001,False,False
CWE-761,2,648,99.96,CWE-761,CWE-761,0.001,False,False
CWE-1106,1,649,99.96,CWE-1106,CWE-1106,0.0,False,False
CWE-571,1,650,99.96,CWE-571,CWE-571,0.0,False,False
CWE-166,1,651,99.96,CWE-166,CWE-166,0.0,False,False
CWE-462,1,652,99.97,CWE-462,CWE-462,0.0,False,False
CWE-44,1,653,99.97,CWE-44,CWE-44,0.0,False,False
CWE-1313,1,654,99.97,CWE-1313,CWE-1313,0.0,False,False
CWE-1291,1,655,99.97,CWE-1291,CWE-1291,0.0,False,False
CWE-952,1,656,99.97,CWE-952,CWE-952,0.0,False,False
CWE-57,1,657,99.97,CWE-57,CWE-57,0.0,False,False
CWE-43,1,658,99.97,CWE-43,CWE-43,0.0,False,False
CWE-30,1,659,99.97,CWE-30,CWE-30,0.0,False,False
CWE-374,1,660,99.97,CWE-374,CWE-374,0.0,False,False
CWE-1027,1,661,99.97,CWE-1027,CWE-1027,0.0,False,False
CWE-832,1,662,99.97,CWE-832,CWE-832,0.0,False,False
CWE-454,1,663,99.97,CWE-454,CWE-454,0.0,False,False
CWE-624,1,664,99.97,CWE-624,CWE-624,0.0,False,False
CWE-1057,1,665,99.97,CWE-1057,CWE-1057,0.0,False,False
CWE-1352,1,666,99.97,CWE-1352,CWE-1352,0.0,False,False
CWE-355,1,667,99.97,CWE-355,CWE-355,0.0,False,False
CWE-621,1,668,99.97,CWE-621,CWE-621,0.0,False,False
CWE-509,1,669,99.97,CWE-509,CWE-509,0.0,False,False
CWE-587,1,670,99.97,CWE-587,CWE-587,0.0,False,False
CWE-1218,1,671,99.97,CWE-1218,CWE-1218,0.0,False,False
CWE-5,1,672,99.97,CWE-5,CWE-5,0.0,False,False
CWE-154,1,673,99.97,CWE-154,CWE-154,0.0,False,False
CWE-207,1,674,99.97,CWE-207,CWE-207,0.0,False,False
CWE-895,1,675,99.97,CWE-895,CWE-895,0.0,False,False
CWE-600,1,676,99.97,CWE-600,CWE-600,0.0,False,False
CWE-495,1,677,99.97,CWE-495,CWE-495,0.0,False,False
CWE-50,1,678,99.97,CWE-50,CWE-50,0.0,False,False
CWE-485,1,679,99.97,CWE-485,CWE-485,0.0,False,False
CWE-1102,1,680,99.98,CWE-1102,CWE-1102,0.0,False,False
CWE-1253,1,681,99.98,CWE-1253,CWE-1253,0.0,False,False
CWE-6,1,682,99.98,CWE-6,CWE-6,0.0,False,False
CWE-882,1,683,99.98,CWE-882,CWE-882,0.0,False,False
CWE-556,1,684,99.98,CWE-556,CWE-556,0.0,False,False
CWE-1174,1,685,99.98,CWE-1174,CWE-1174,0.0,False,False
CWE-102,1,686,99.98,CWE-102,CWE-102,0.0,False,False
CWE-511,1,687,99.98,CWE-511,CWE-511,0.0,False,False
CWE-34,1,688,99.98,CWE-34,CWE-34,0.0,False,False
CWE-507,1,689,99.98,CWE-507,CWE-507,0.0,False,False
CWE-263,1,690,99.98,CWE-263,CWE-263,0.0,False,False
CWE-520,1,691,99.98,CWE-520,CWE-520,0.0,False,False
CWE-1055,1,692,99.98,CWE-1055,CWE-1055,0.0,False,False
CWE-1056,1,693,99.98,CWE-1056,CWE-1056,0.0,False,False
CWE-1334,1,694,99.98,CWE-1334,CWE-1334,0.0,False,False
CWE-455,1,695,99.98,CWE-455,CWE-455,0.0,False,False
CWE-1164,1,696,99.98,CWE-1164,CWE-1164,0.0,False,False
CWE-39,1,697,99.98,CWE-39,CWE-39,0.0,False,False
CWE-508,1,698,99.98,CWE-508,CWE-508,0.0,False,False
CWE-1310,1,699,99.98,CWE-1310,CWE-1310,0.0,False,False
CWE-962,1,700,99.98,CWE-962,CWE-962,0.0,False,False
CWE-638,1,701,99.98,CWE-638,CWE-638,0.0,False,False
CWE-370,1,702,99.98,CWE-370,CWE-370,0.0,False,False
CWE-1265,1,703,99.98,CWE-1265,CWE-1265,0.0,False,False
CWE-1304,1,704,99.98,CWE-1304,CWE-1304,0.0,False,False
CWE-702,1,705,99.98,CWE-702,CWE-702,0.0,False,False
CWE-1051,1,706,99.98,CWE-1051,CWE-1051,0.0,False,False
CWE-1278,1,707,99.98,CWE-1278,CWE-1278,0.0,False,False
CWE-333,1,708,99.99,CWE-333,CWE-333,0.0,False,False
CWE-198,1,709,99.99,CWE-198,CWE-198,0.0,False,False
CWE-12,1,710,99.99,CWE-12,CWE-12,0.0,False,False
CWE-1083,1,711,99.99,CWE-1083,CWE-1083,0.0,False,False
CWE-186,1,712,99.99,CWE-186,CWE-186,0.0,False,False
CWE-1222,1,713,99.99,CWE-1222,CWE-1222,0.0,False,False
CWE-292,1,714,99.99,CWE-292,CWE-292,0.0,False,False
CWE-1118,1,715,99.99,CWE-1118,CWE-1118,0.0,False,False
CWE-1059,1,716,99.99,CWE-1059,CWE-1059,0.0,False,False
CWE-301,1,717,99.99,CWE-301,CWE-301,0.0,False,False
CWE-336,1,718,99.99,CWE-336,CWE-336,0.0,False,False
CWE-66,1,719,99.99,CWE-66,CWE-66,0.0,False,False
CWE-570,1,720,99.99,CWE-570,CWE-570,0.0,False,False
CWE-339,1,721,99.99,CWE-339,CWE-339,0.0,False,False
CWE-529,1,722,99.99,CWE-529,CWE-529,0.0,False,False
CWE-1026,1,723,99.99,CWE-1026,CWE-1026,0.0,False,False
CWE-1282,1,724,99.99,CWE-1282,CWE-1282,0.0,False,False
CWE-654,1,725,99.99,CWE-654,CWE-654,0.0,False,False
CWE-314,1,726,99.99,CWE-314,CWE-314,0.0,False,False
CWE-605,1,727,99.99,CWE-605,CWE-605,0.0,False,False
CWE-910,1,728,99.99,CWE-910,CWE-910,0.0,False,False
CWE-688,1,729,99.99,CWE-688,CWE-688,0.0,False,False
CWE-236,1,730,99.99,CWE-236,CWE-236,0.0,False,False
CWE-1078,1,731,99.99,CWE-1078,CWE-1078,0.0,False,False
CWE-430,1,732,99.99,CWE-430,CWE-430,0.0,False,False
CWE-482,1,733,99.99,CWE-482,CWE-482,0.0,False,False
CWE-479,1,734,99.99,CWE-479,CWE-479,0.0,False,False
CWE-673,1,735,99.99,CWE-673,CWE-673,0.0,False,False
CWE-765,1,736,100.0,CWE-765,CWE-765,0.0,False,False
CWE-1190,1,737,100.0,CWE-1190,CWE-1190,0.0,False,False
CWE-615,1,738,100.0,CWE-615,CWE-615,0.0,False,False
CWE-143,1,739,100.0,CWE-143,CWE-143,0.0,False,False
CWE-309,1,740,100.0,CWE-309,CWE-309,0.0,False,False
CWE-714,1,741,100.0,CWE-714,CWE-714,0.0,False,False
CWE-541,1,742,100.0,CWE-541,CWE-541,0.0,False,False
CWE-157,1,743,100.0,CWE-157,CWE-157,0.0,False,False
CWE-318,1,744,100.0,CWE-318,CWE-318,0.0,False,False
CWE-1301,1,745,100.0,CWE-1301,CWE-1301,0.0,False,False
CWE-1224,1,746,100.0,CWE-1224,CWE-1224,0.0,False,False
CWE-386,1,747,100.0,CWE-386,CWE-386,0.0,False,False
CWE-618,1,748,100.0,CWE-618,CWE-618,0.0,False,False
CWE-293,1,749,100.0,CWE-293,CWE-293,0.0,False,False
